Mot;Abréviation;Définition
AIGÛLLON,;s., m.;11  mouil.,  s.  m.  Aiguillon,  longue  baguette  au  bout  de  laquelle  se  trouve  une  pointe  do  fer  pour  exciter  les  boeufs.  Pas  un  charretier  morvandeau  qui  n'ait  son  «  aigûllon  »  :
AIGOUERE,;s., f.;s.  f.  Égout,  écoulement  d'eau.  Les  «  aigouéres  «  d'un  chemin,  d'un  toit.
AIHÂBLE,;s., m., Morv., n.;m.  Érable.  Chute  de  l'r  médial.  Morv.  n.
AILANGOUERE,;fr.; part,  passé  d'un  verbe  inusité  à  l'infinitif.  Languissant,  maigre,  efflanqué.  \'i.  fr.  alangorer,  alangourer  :
AILECIE,;s., f., Morv.; f.  Grenier  à  foin  au-dessus  des  écuries,  des  ctables.  Le  grenier  au-dessus  de  la  grange  est  appelé  chafaud.  Morv.  n.-n.-o.
AILEMER,;V., a.;V.  a.  Allumer.  «  Ail'mer  lai  chan-  deille.  »
AILEMETTE,;s., f., Morv.; f.  Allumette,  tout  ce  qui  sert  à  allumer  le  feu.  Morv.  n.-n.-o.  «  ailemotte.  »
AILER,;a.; v.  a.  Aller.  (Voy.  Ailan.]
AILIGER,;V., a., fr.;"V.   a.  Alléger,  soulager,  donner  de  l'aide,  du  secours.  Vi.  fr.  aliger,  aligier,  éliger  :  Or  veil  à  ma  dame  proier  K'elle  me  gest  de  cest  dongier  ;  Elle  m'avroit  tost  Aligiet  ma  paine.  He  trikedondaine,  trikedondaine  !"
AILIGRE,;adj., Morv.;adj.  Allègre,  content,  joyeux.  Morv.  n.-n.-o.
AILLIER,;V., a.;V.  a.  Délayer,  détremper  avec  de  l'eau,  avec  un  liquide  quelconque.  Il  faut  «  aillier  »  la  terre  argileuse  pour  faire  une  chaussée  d'étang,  une  aire  de  grange,  etc.
AILLIEURE,;s., f.;s.  f.  Liaison,  terme  de  cuisine  désignant  la  matière,  farine,  œufs,  etc.,  qui  sert  à  lier  ou  épaissir  les  sauces.
AILOIRI,;V., n.;V.  n.  Étourdir,  avoir  des  vertiges  par  éblouissements  ou  autre  accident.  S'emploie  quel-  quefois dans  le  sens  actif  :  le  soleil  «  m'ailoirit  »  toujours.
AILONNER,;V., a.;V.  a.  Découvrir  quelque  chose  de  lointain  ou  de  caché,  par  le  flair,  l'instinct,  ou  môme,  chez  les  personnes,  par  intuition.
AILORDI,;V., a.;V.  a.  Alourdir,  rendre  lourd,  étourdi,  braque.  Un  «  ailordi  »  est  un  étourdi,  un  évaporé,  un  être  sans  cervelle.
AILORDITION,;s., f.;s.  f.  Étourdissement,  vertige.
AILOTI,;V., a.;"V.  a.  Lotir,  mettre  en  lot  ;  disposer  en  groupe,  en  tas  régulier  pour  la  vente.  Allotir  était  un  terme  de  l'anc.  jurisprudence  qui  signifiait  partager,  diviser."
AILUNETTE,;s., f.;s.  f.  Lunette.  Un  vieillard  ne  peut  lire  sans  ses  «  ailunettes.  »
AIJIAILLANTER,;a.; v.  a.  Meurtrir,  écraser.  Un  bras,  une  jambe  «  aimaillantés  »,  c'est-à-dire  dans  l'état  d'une  chair  frappée  à  coups  de  marteau.
AIMARTOILLER,;a., esp., ital.;" a.  Ecraser,  piler,  assom-  mer. «  Martoiller  »  est  pour  marteler  ;  en  rom.  prov.  martellar,  esp.  martillar,  ital.  martellare.  Mar-  dis, primitif  du  1.  martulus,  se  rattache  au  sans-  crit mai'j,  écraser."
AIMENDAULE,;adj.; adj.  Qui  amende,  qui  améliore,  qui  fait  grandir,  croître,  se  développer.  Un  temps  de  chaleur  et  d'humidité  est  «  aimendaule  »  pour  la  végétation.
ADIENDE3IAN,;s., m.;s.  m.  Amendement,  croissance,  développement,  engraissement,  amélioration.  Oh.  de  Sévigné  écrit  à  sa  sœur  :
AIMENDER,;n.; v.  n.  Amender,  croître,  grandir,  se  développer,  engraisser.  Un  enfant  qui  grandit,  un  bœuf  qui  engraisse,  un  arbre  qui  grossit,  une  herbe  qui  pousse,  «  aimendent.  »
AIJVIENITIÉ,;s., m.;s.  m.  Bônitier.  Ce  mot  est  formé  de  eai  pour  eau  et  bénitier  par  corruption.  Eau-  bénitier  était  souvent  employé  au  M.  A.  :
ADIER,;s., m.;s.  m.  Amer,  fiel,  humeur  qui  est  ren-  fermée dans  une  vésicule  chez  les  bœufs  et  autres  animaux.
AIMIGNÔDER,;a., Morv., n.; a.  Flatter,  câliner  quelqu'un.  Morv.  n.
AIMIJE,;s., f., Morv., n.;f.  Fil  de  chanvre  qu'on  ajoute  au  be.soin  dans  le  tissage.  Morv.  n.
ADIIQUIAULE.;adj.; adj.  Amical,  porté  à  l'amitié,  disposé  à  aimer,  sociable:  «ç'ô  eun  bon  garçon,  bin  aimiquiaule.  »
AOUQUIÉ,;s., f.;s.  f.  Amitié.
ADIOILLER,;n.;" 11  mouill..  v.  n.  Mouiller.  Se  dit  des  femelles  d'animaux  et  principalement  des  vaches  lorsque  le  lait  commence  à  paraître  :  «  tai  vaiche  vé  fére  son  veai  ;  ile  aimoille  diji.  »"
AIMOINCHER,;a.; v.  a.  Emmancher,  mettre  un  manche,  (^'oy.  Moinche.)
AIMOIZETER,;a., n.;v.  a.  Gâcher,  galvauder,  dété-  riorer, diminuer  la  valeur  de  quelque  chose  par  insouciance  ou  maladresse.  Une  robe  mal  faite,  un  cheval  couronné,  une  maison  lézardée,  sont  «  ai-  moizetés,  »  Morv,  n.
AIMON,;s., m.;"s.  m.  Amont,  le  haut,  par  opp.  avec  aval,  le  bas.  Le  laboureur  qui  se  dirige  vers  le  sommet  de  la  montagne  va  «  d'aimon.  »  Lorsqu'il  conduit  la  charrue,  il  crie  à  celui  qui  mène  les  boeufs  :  «  aimon,  aimon  !  »  pour  monter;  et  «  vau,  vau  !  «  pour  descendre.  «  Je  marche  plus  sûr  et  plus  ferme  à  Mont  qu'à  val  »,  disait  Montaigne.  Et  dist  li  aingles  :  n'aies  paour,  bairon,  Dex  le  vos  mande  de  son  ciel  lai  Amon."
(G.;V.; DE  Vi.  V.  3041.)
(IB.;V.;V.  28Ô07.)
AIMÔR,;s., m.;s.  m.  Amour.  Ce  mot  éternellement  jeune,  et  qui  occupe  une  si  grande  place  dans  les  langues  humaines,  n'apparaît  que  très  rarement  dans  notre  patois,  organe  mutilé  d'une  existence  toute  matérielle.  Il  est  demeuré  dans  quelques  locutions  traditionnelles  et  avec  un  sens  très  res-  treint. Nous  disons  :  «  i  va  1'  fére  por  l'aimor  de  lu  »,  mais  un  jeune  homme  ne  dira  jamais,  en  prose,  qu'il  aime  d'amour.  Il  dira  tout  uniment  qu'il  «  eumebin.  »  Le  sentiment  exalté  qui  répond  à  cette  expression  n'existe  pas  dans  nos  campagnes.  Chez  nous,  aimer  est  un  mouvement  de  la  nature  auquel  on  cède  sans  qu'on  sache  le  définir.  Dans  les  chansons,  au  contraire,  chansons  fabriquées  on
(IB.;V.; V.   13-210.)
ADIOUGNER,;a.; v.  a.  Amener,  mener  vers
AIÎIUSAR,;s., m.;s.  m.   Flâneur,  celui  qui   perd  son
(G.;V.; DE  Vi.  V.  2264.)  Anglais  :  muse?',  o?ie  apt  to  be  absent  of  mind,  distrait,  (^'oy.  Aibuïer.  Musoji.)
AIN,;s., Morv., n.; s.  num.  Un,  une.  Le  fém.  est  sou-  vent nasalisé  en  aigne.  Morv.  n.
AINCHE.;s., f., Morv., n.;f.  Hanche.  —  Morv.  n.  «  aince.  »  —  «  Ainche  >>  est  la  forme  bourg.  :  plusieurs  patois  prononcent  «  ance.  >>
AEVEAI,;s., m.;s.  m.  Anneau,  bague.
AINIQUE,;adj.; adj.  Unique,  seul.
AINITÉ,;s., f., Morv., n.;f.  Unité.  Morv.  n.
AINNÉ,;adj.; adj.  Aîné,  le  premier  né  d'une  famille  :  «  ç'ô  l'ain-né  de  nos  p'tiots  ».  c'est  l'aîné  de  nos  enfants.
(IB.;V.;  V.    117M.)
AINN03IA;interj., Morv., n.; interj.  pour  exprimer  le  doute,  l'incertitude  :  vraiment  !  allons  donc  !  vous  plai-  santez !  Morv.  n.
AIN03IBRER,;a.; v.  a.  Compter,  dénombrer.
AINUÏAN,;adj.; ANTE,  adj.  Contrariant,  taquin.
AIPAICHER,;V., a., Morv.; a.  Apaiser,  calmer,  adoucir.  Morv.  n.-n.-o.
AIPAIROILLER;réfl.; (S'),  v.  réfl.  Se  mettre  à  l'aise,  s'étendre,  se  détircr.  Ce  verbe  se  rattache-t-il  à  l'anc.  mot  apariller  ou  raparillcr,  refaire,  rétablir,  restaurer  ?
(IB.;V.; V.  2493.)
AIPAURI,;n.; v.  n.  Apauvrir,  devenir  pauvre.  Nous  disons  «  paure  »  et  «  poure  »  pour  pauvre,  d'où  les  verbes  «  apaurir,  apourir.  »
AIPETIOTI.;V., a., fr., fr.;a.  Rendre  plus  petit,  plus  mince,  plus  pointu.  Oomp.  au  fr.  apelisser,  mais  avec  une  signif.  plus  étendue.  A  l'idée  de  rendre  plus  petit,  notre  verbe  réunit  celle  qu'exprime  le  mot  fr.  amenuiser.
AIPEUÏOT,;s., m.;s.  m.  Appui,  soutien.
AIPEURCHER,;a.; v.  a.  Approcher  :  «  aipeurclic  loué  d' lu.  >i
AEPEURÇUE,;s., f.;s.  f.  Aperçue,  vue  sommaire  d'une  chose.
AIPIÉTER,;V., n.;V.  n.  Avancer  beaucoup  en  mar-  chant, marcher  très  vite.
AIPLAINI,;a.; v.  a.  Aplanir,  mettre  de  niveau,  rendre  plan.
AIPL03IB,;s., m.;s.  m.  Aplomb.  «  D'aiplomb  »  s'em-  ploie quelq.  pour  exprimer  l'intensité  d'un  effet  produit  :  «  r  soûlai  chauffe  d'aiplomb.  »
AIPOIGNE,;loc., adv., fr.; adv.  A  peine,  avec  peine.  —  En  vi.  fr.  poine  pour  peine.  Notre  patois  accentue  le  son  nasal.  (Voy.  Poingne.)
ALPOLI,;V., a.;V.  a.  Polir,  rendre  uni,  lisse.
AIPONDRE.;V.; V.  a  Rejoindre,  joindre  ensemble.  S'emploie  activement  pour  exprimer  l'idée  de  réunion  à  une  personne  qui  est  en  route.  Cette  femme  était  fort  loin,  mais  je  l'ai  «  aipondue  »  ou  «  r'joindue.  >>
AIPÔTE,;s., m.;s.  m.  Apôtre  :  «  ain  boun  aipôtc  ».  un  hypocrite.
AIPOULI;réfl.; (S')  v.  réfl.  Se  dit  du  ciel  lorsqu'il  prend  une  teinte  uniforme.  Le  temps  «  s'aipoulit  »  à  l'époque  des  grandes  pluies  d'automne.
AIPPEAU.;s., m.;s.  m.  Appeau,  espèce  de  sifflet  dont  on  se  sert  pour  imiter  le  cri  des  oiseaux  et  les  attirer  au  piège.
AIPPOE,;s., m.;s.  m.  Apport,  assemblée  qui  se  réunit  chaque  année  à  jour  fixe,  marché,  foire.
AIPPOSER.;a., réfl.;v.  a.   Opposer  :    «  i  m'aippose    ai  ç'iai.  ))  —  Aipposer  (s'),  v.  réfl.  S'opposer.
AIPPRECVE,;s., f.;s.  f.  Preuve.  Il  a  vendu  ses  bœufs,  et  pour  «  aippreuve  »,  il  a  reçu  des  arrhes.
AIPROPEI.;V., a.;V.  a.  Nettoyer,  tenir  propre.
AJPRÔTER,;V., a.;V.  a.  Apprêter,  préparer,  disposer.
AI;loc.; QUAN,  loc.  En  même  temps  :  «  i  m'en  vé  ai  quan  lu  »,  je  m'en  vais  en  même  temps  que  lui.
AIQUEMÔDER.;a.;" v.  a.  Accommoder,  préparer,  satisfaire.  «  Aiquemôder  »  un  mets,  l'accommoder,  le  préparer  ;  «  aiquemôder  «  un  chaland,  se  mettre  d'accord  avec  lui."
AIQDÉTER,;a.; v.  a.  Faire  une  acquisition,  acqué-  rir, acheter,  gagner,  ramasser  :  «  ol  é  aiqueté  ain  bon  beutingn'  »,  lia  ramassé  un  bon  bien.
MQUEULER,;a.; v.  a.  Accroupir,  asseoir  très  bas  sur  les  genoux  ploycs.  Acculer  a  un  autre  sens  en  français.
AIQUEURBOTÉ,;adj.; ÉE,  adj.  Accroupi,  assis  sur  les  talons.  «  Aiqueurboté  >>  semble  une  corruption  de  à-cul-bouté,  mis  à  cul.
AIQUEURM,;adj., fr.;E,  adj.  Maigre,  rachitique.  Le  môme  mot  que  racorni,  moins  le  duplicatif.  Acorni  est  inusité  en  fr.  De  a  et  corne.
AIQTJIT,;s., m.;s.  m.  Acquit,  reçu,  quittance.
AIQUITER,;V., a.;V.  a.  Acquitter,  rendre  quitte  :  «  a  n'  me  doué  pu  ran,  al  ô  aiquitc  >>,  il  ne  me  doit  plus  rien,  il  est  quitte.
AIRÂGNER,;V., a.;V.  a.  Exciter,  stimuler  de  la  voix,  de  l'aiguillon ,  harceler  :  «  allon ,  via,  airâgné  le  bœu  !  ^  Allons ,  vite ,  excitez ,  piquez  les  l)ceufs  !
[TU.;fr.;fr.  III,  p,  3IB.)
AIRÂLER.;V., a.;V.  a.  Écorcher,  enlever  la  peau,  déchirer.
AIRASER,;a.; v.  a.  Mettre  de  niveau  :  «  airâser  »  un  mur,  un  trou  en  remplissant  le  vide.  L'anc.  langue  disait  araser  pour  niveler,  mettre  au  ras  de  terre  :
AIRDOUNANCE,;s., f., n., a., Morv., n.;Ordonnance.  îNIorv.  n.  AIRDOUNER,  v.  a.  Ordonner.  Morv.  n.
AIREILLE,;s., f., Morv.; f.  Oreille.  Morv.  n.-n.-o.  «  ai-  heille  »,  parla  chute  de  l'r  :  «  i  é  mau  ez  airoilles.  »
AIKEILLON,;s., m.;s.  m.  Oreillon.  anneau,  agrafe  de  1er  qui  fixe  l'anse  d'un  seau,  d'une  chaudière,  d'une  marmite,  etc.  :  les  deux  «  aireillons  »  d'un  vase...  par  assimilation  avec  les  oreilles.  Nous  disons  aussi  les  «  aireilles  ».  pour  les  ouïes  d'un  poisson.
AIRÉTAU,;s., m.;"s.  m.  Obstacle  qui  arrête,  barrière,  palissade,  fossé,  etc.  :  il  a  mis  un  «  airctau  »  dans  son  champ  pour  qu""on  n'y  passe  pas."
AIKGENT,;s., m.;s.  m.  Argent  :  «  i  n'  1'  fré  ne  por  or  ne  por  airgent.  »  Cette  manière  de  parler,  si  usitée  encore,  est  bien  ancienne,  puisqu'elle  figure  dans  le  Chant  de  sainte  Eulalie.  La  sainte  se  refuse  à  apostasier  :
AIRGENTAULE.;adj.; adj.  Argenteux.  celui  ou  celle  ([ui  a  de  l'argent,  qui  a  la  poche  bien  garnie  :  ces  gens-là  sont  «  airgentaules.  »
AIRGNIE,;s., f., Morv.; f.  Araignée  et  toile  d'araignée,  sync.  de  «  araignie.  »  Morv.  n.-n.-o.  «  ailgnie.  »
AIRIE.;s., f., Morv.; f.  Airée,  ce  qui  est  sur  l'aire  de  la  grange  au  moment  du  battage,  la  quantité  de  gerbes  qu'on  va  battre  au  fléau.  Morv.  n.-n.-o.  «  aihic.  »
M.;fr.; fr.  arée,  airée,  airie  :
AIRIOTTE,;s., f.;s.  f.  Petite  ruelle,  chemin,  sentier  étroit  entre  deux  haies,  ou  deux  murailles  :  «  a  vô  fau  sigre  l'airiotte  »,  suivez  le  sentier.  Moi-v.  n.-n.-o.
AIRÔDE,;s., f.;s.  f.  Arête  de  poisson,  dard,  épine,  piquant.  Envii'ons  d'Avallon.
AIROICHER.;V., a., fr.; a.  Arracher,  extraire.  Ce  mol  a  une  application  plus  étendue  qu'en  fr.  On  dit  «airoichcr»  de  la  terre,  «airoichem  des  pierres,  etc.  Notre  forme  dérive  peut-être  plutôt  de  exradicare  que  de  abradicare.  Dans  le  dernier  cas,  l'orth.  serait  «  esroicher.  »
AIRONDELLE.;s., f., Morv., n.;f.  Hirondelle.  —  Morv.  n.  «  arondelle.  »
AIROUGI,;V., a.;V.  a.  Rougir,  rendre  rouge.  Le  vent  de  solaire  «  airougit  «  les  sarrasins.
AIROUSER.;V., a., fr.; a.  Arroser,  irriguer.  y'\.  fr.  arouser,  arrouser  :
AIRRHES,;s., f., plur.; f.  plur.  Arrhes,  gage.
AIRRIVAIGE,;s., m., Voy.; m.  Arrivage,  àpeu  près  synon.  de  «  arroi.  »  Voy.  ce  mot.  L'arrivage  désigne  toutes  les  denrées  qui  servent  à  accommoder  les  mets,  le  beurre,  la  graisse,  l'huile,  le  lard,  le  sel,  etc.
AIRTER,;V., a., c.-à-d.;" a.  Arrêter,  saisir.  —  Etre  «  airté  »,  être  malade.   Où  est  Pierre  ?  «  Al  ô  airté  »,  c.-à-d.  il  ne  travaille  pas,  il  est  malade,  il  est  dans  son  lit.  La  suspension  du  labeur  quotidien  est  souvent  pour  Fhomme  des  champs  sa  première  étape  vers  l'éternel  repos  :  l'homme.  Alyson,  je  ne  le  dy  mye  ;  Ainsi  le  croy  certainement."
AISAUMEE,;s., f., Morv., n.;f.  Etendue  de  terre  qu'un  homme  couvre  de  grains  à  chaque  fois  qu'il  traverse  un  terrain  en  projetant  la  semence.  Bande  de  terre  en  srénéral.  Mesure  de  superficie. —  Morv.  n.  «  aichau-  mée.  »
AISCEAI,;s., m.;s.  m.  Hachette  à  l'usage  des  sabotiers.
AISSEURER,;V., a.;V.  a.  Assurer.  Que  si  l'eusse   esté  parmy  ces  nations  qu'on  dict  vivre  encores  soubs   la  doulce  liberté  des  premières
AISSIEGER,;V., a.;V.  a.  Asseoir,  en  parlant  des  cho-  ses, mettre  d'aplomb.  On  «  aissiége  »  les  fondations  d'un  mur,  une  roche,  un  bloc.
AISSIÔ,;Morv., n.;particule  d'affirm.  Oui,  assurément. —  Morv.  n.
AISSORDER,;V., a.;V.  a.  Assourdir  :  «  a  m'é  aissordé  aivou  sai  meusiqhie.  »  Berry  :  «  assordir.  «
AISSOUBI;V., réfl.;(S'),  V.  réfl.  S'assoupir,  s'endormir.
AISSOUETE.;adj.; adj.  Celui  qui  a  soif,  qui  est  très  altéré.
AISSOUMER,;V., a.;V.  a.  Assommer,  frapper  avec  violence.
AISSOURILLER,;a., Morv.;v.  a.  Rendre  sourd,  assourdir.  Morv.  n.-n.-o.
AISTEURE,;loc., adv.;"loc.  adv.  A  présent,  à  cette  heure  ;  «  i  seu  dijeuné  aisteure  »,  je  viens  de  déjeuner.  En  plusieurs  lieux  on  ne  prononce  pas  la  dernière  syllabe."
AITAICHE,;s., f.;s.  f.  Attache,  lien,  épingle,  agrafe,  cordon,  ruban  et  en  général  tout  ce  qui  sert  à  atta-  cher quelque  chose  :
AITAINER,;V., a.;V.  a.  Fatiguer,  ennuyer,  taquiner,  importuner,  dégoiiter  :  «  laiché  moue,  vo  m'aitai-  ncs  »,  haissez-moi,  vous  me  fatiguez!  «  i  seu  aitainé  de  ç'iai  »,  je  suis  ennuyé  de  cela.
(GUILL.;V.;  GUIART,  V.    4121.)
AITAIQUER,;V., a.;V.  a.  Attaquer,  harceler,  (^'oy.  .4i7aic/îe.|
AITAIRI,;V., a.;V.  a.  Tarir,  dessécher,  mettre  à  sec  :  «  mon  poué  ô  aitairi  »,  mon  puits  est  à  sec.  N'est  usité  qu'en  parlant  d'un  réservoir  naturel.  On  ne  l'emploierait  pas  pour  exprimer  l'épuisement  d'un  liquide  déposé  accidentellement  dans  un  vase.
AITEFICE,;s., m.;s.  m.  Engrais,  fumier,  amendement  quelconque.  A  l'origine,  «  aitefice  »  ne  signifiait  probablement  que  moyen  d'amendement,  d'amé-  lioration par  l'engrais.
AITEFIER,;V., a.;"V.  a.  Fumer,  mettre  un  engrais  en  terre  ;  améliorer,  amender  le  sol  et,  en  général,  tout  ce  que  l'on  possède.  On  dit  d'un  homme  labo-  rieux et  soigneux  qu'il  «  aitefle  »  ses  propriétés.  Le  mot  s'emploie  dans  des  acceptions  de  détail  assez  nombreuses  qui  au  fond  se  rattachent  à  la  même  idée.  Ainsi  k  aitefîer  »  un  arbre,  c'est  le  fumer,  le  nettoyer,  le  grefïer.  Dans  Rabelais  afTier  a  ce  même  sens  de  gretïer  :"
AITENTIOUNEU,;adj.; EUSE,  adj.  Attentionné,  qui  a  des  attentions,  des  égards,  des  prévenances  pour  quelqu'un  :  «  çô  eune  gentite  fonne.  bin  aitcntiou-  neuse.  »
AITEUJER,;a., n.;v.  a.  Tisonner,  remuer  les  tisons  :  «  aiteujé  1'  feu  »,  tisonnez  le  feu.  —  Morvan  n.  (Voy.  Teujon  et  Tuïon.  )
AITIFER,;V., a.;V.  a.  Attifer,  parer  avec  prétention  et  mauvais  goût.
AITOLÉE,;s., f.;"s.  f.  Attelée,  la  durée  d'un  travail  d'attelage  pour  les  bœufs  ou  les  chevaux  ;  espace  de  temps  où  les  animaux  de  trait  sont  attelés."
AITOLEMAN,;s., m., fr.; m.  Appareil  d'attelage,  et  non  pas  comme  en  fr.  action  d'atteler.
AITOLER,;V., a.;V.  a.  Atteler,  mettre  les  animaux  de  trait  sous  le  joug  ou  sous  le  harnais.  S'emploie  par
AITOLOURE,;s., f., fr., dimin.;f.  Cheville  de  bois  ou  de  fer  qui  sert  à  l'attelage  des  bœufs.  En  vi.  fr.  ateloire.  f^oitou  :  «  atelure,  atelouère.  »  Le  berrichon  «  àte»,  Limon  de  charrette,  se  rattache  probablement  au  1.  hasta  ou  à  son  dimin.  hastile.  (Voy.  Atèle.)
AITOU,;adv., Morv., n.; Aussi,  également,  pareillement  :  >'  al  ô  airivé  aitou  »  ,  il  est  arrivé  aussi.  Dans  le  Morv.  n.  «  aitou  »  signifie  avec  :  «  aitou  lu  »,  avec  lui.  Il  en  était  de  même  dans  l'anc.  langue  :  atot,  atou,  a  tout  =  avec  :
AITUIER.;V., a.;V.  a.  Attiser,  tisonner.  (Voy.  .4 ifeujer,  Tuïon.)
AIVAN,;prép.;" prép.  Avant  ;  en  avant  ;  plus  loin,  hors  du  lieu  où  l'on  est  :  «  a  n'  o  pâ  iqui,  al  ô  aivan  »,  il  n'est  pas  ici,  il  est  parti.  En  Bourg.,  au  temps  de  La  Monnaye,  on  disait  :  «  el  at  aivan.  »"
AIVAICHER,;V., a.;V.  a.  Saillir  une  vache  :  le  taureau  blanc  a  «  aivaiché  lai  Beurnotte.  »
ATVANÇAULE,;adj.; adj.  Qui  donne  de  l'avance,  qui  se  fait  vite.  Un  travail  minutieux  n'est  pas  «  aivan-  çaule.  «
AJVANCE,;s., f.;"s.  f.  Espace  de  chemin  ou  de  temps  franchi  avant  le  moment  fixé  ;  argent  libre  dont  on  peut  disposer  sans  délai  :  «  al  é  d'  laivance  »,  il  a  de  l'argent  comptant."
AIVAJVCI,;fr.; E,  part.  pass.  d'un  verbe  «  aivancer  «  inusité.  Celui  qui  a  de  l'avance,  qui  est  à  l'aise.  Les  désinences  en  i  pour  e  des  part,  passés  sont  très  fréquentes  dans  l'anc.  fr.  :
AIVANPLEUE,;s., m.;s.  m.  Avant-pluie,  côté  de  la  pluie,  face  exposée  à  l'ouest.  —  Un  «  aivanpleue  »,  auvent  (lui  abrite  une  maison.  (Voy.  Pleue.)
